indicator,type,source_email,description
193.41.77.108,IPv4,Email_02.eml,Public IP extracted from headers/body
solvex-industries-helpdesk.verify-account-secure.com,Domain,Email_02.eml,External/unverified domain
http://solvex-industries-helpdesk.verify-account-secure.com/mailbox/confirm?user=aditya.rao,URL,Email_02.eml,URL extracted from body
103.22.8.190,IPv4,Email_03.eml,Public IP extracted from headers/body
ab9bf8fa8091c08569b0a1f9d6ae9995a19a2379435682c8e92f3a5f64ec2775,SHA256,Email_03.eml,Attachment SHA-256 hash
45.137.22.9,IPv4,Email_05.eml,Public IP extracted from headers/body
209.85.220.89,IPv4,Email_06.eml,Public IP extracted from headers/body
https://docs.google.com/spreadsheets/d/1kQ3z-example-fileid-9f2/edit?usp=sharing,URL,Email_06.eml,URL extracted from body
77.91.134.6,IPv4,Email_07.eml,Public IP extracted from headers/body
login.micros0ft-online.com,Domain,Email_07.eml,External/unverified domain
http://login.micros0ft-online.com/secure/verify-identity?ref=aditya.rao,URL,Email_07.eml,URL extracted from body
156.213.44.71,IPv4,Email_08.eml,Public IP extracted from headers/body
720bb323679ae825794a5f2e13b6f3286c8adf40ee76a6936a93553447c877b9,SHA256,Email_08.eml,Attachment SHA-256 hash
JD_SeniorFinanceManager_Client.zip,Filename,Email_08.eml,Suspicious attachment filename
9e8c854e3774b755b35fd0aa2564a71464ed46eb6c1c9a6d13daecd7c6a59910,SHA256,Email_09.eml,Attachment SHA-256 hash
185.220.101.44,IPv4,Email_10.eml,Public IP extracted from headers/body
claim-your-prize-now.lottery-verify.info,Domain,Email_10.eml,External/unverified domain
http://claim-your-prize-now.lottery-verify.info/claim?ref=44921,URL,Email_10.eml,URL extracted from body
41.203.88.17,IPv4,Email_13.eml,Public IP extracted from headers/body
shreeganesh-logistics.in.invoice-view-secure.com,Domain,Email_13.eml,External/unverified domain
http://shreeganesh-logistics.in.invoice-view-secure.com/download?file=inv2207,URL,Email_13.eml,URL extracted from body
1659174a0b84c31ff2fc7b50fc07c0973964d33a3897ba38c07bece46805c17d,SHA256,Email_13.eml,Attachment SHA-256 hash
Pending_Invoice_Challan_Details.docm,Filename,Email_13.eml,Suspicious attachment filename
